Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-3.571282380796553e8,236.27370641534168,112.51119400521975,7.322971507288331,168.21515463127614,9.999998917823241e8,999.999999999655,38.953465093490834,254.66961353873975,999.9999999991309,11027.86223460691,9.659569527652733e-5,0.0009609926222038368,0.0109133219391462,0.09644599864368936,0.7666710461093328,9.853174180745784e17
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
