x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-4.464145059231394e8,242.5843658624687,176.48603537267496,26.95782804805661,9.748967065776036,700.2616477511187,153.579524036521,52.34277367958629,158.28361375307125,1.000000007582131,104.93650881343264,8.589586281128397e-5,0.0008549574426522547,0.008591473908809837,0.8704568728909267,0.8708345344939638,3.8530468131114394e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
