Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.8720209304954684e8,147.88562415062663,445.84603540414196,122.75551219190183,7.350773201464245,282293.9524599025,428.7000244767728,647.1856065153925,480.9556677490988,30.65128979883703,23130.824721669636,4.970769941855575e-5,0.000483797905064867,0.005111295383463705,0.039988855504353285,0.3508936589466147,6.33828877446844e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,0.5,0.5,0.5,0.5,0.5,x
