Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-1.7954806852212794e9,102.83260232754876,73.71145481588562,15.362418228083978,4.9611245032281115,1328.4659238825855,86.17177986479172,94.97377967283924,106.92463614680459,4.830834015042052,1207.7792205622945,5.173151994892181e-5,0.0005175524221836661,0.0051706776787780045,0.5129853196853211,0.5131406752586539,8.26095486829196e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
