Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,η_06,Seed
Run 1,-3.08783694879817e9,178.48786747201405,177.192447892107,82.5262831751966,16.779974666753887,510.1469799624323,43.01569420010658,114.49891103515125,60.72016474068754,11.696279375665336,3663.0493072373642,9.546115330567707e-6,9.55258262517821e-5,0.0009554634352133234,0.009534425492851576,0.09384734558051723,0.8713709286789574,7.272275607388802e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,1.0,x
