t,name,resid
0,Transient 1,-6.799074482444867
0,Transient 2,-31.925231110038922
0,Transient 3,-55.416038347790185
0,Transient 4,-16.02849216487214
0,Transient 5,13.907611125876095
0.2560491614390088,Transient 1,0.10631974948522074
0.2560491614390088,Transient 2,-5.5256111548538485
0.2560491614390088,Transient 3,-18.4700717264131
0.2560491614390088,Transient 4,-5.250714635918807
0.2560491614390088,Transient 5,5.103292857720498
0.5120983228780034,Transient 1,-0.6805353375401891
0.5120983228780034,Transient 2,1.0173757625310254
0.5120983228780034,Transient 3,-3.74905812458213
0.5120983228780034,Transient 4,-3.1887299624130234
0.5120983228780034,Transient 5,1.8918086298120633
0.768147484316998,Transient 1,2.271538849594431
0.768147484316998,Transient 2,2.909958905958116
0.768147484316998,Transient 3,0.6638809765734099
0.768147484316998,Transient 4,-1.6292560757298662
0.768147484316998,Transient 5,1.3374582641731712
1.0241966457559926,Transient 1,1.967440384294896
1.0241966457559926,Transient 2,3.995244064303383
1.0241966457559926,Transient 3,3.8865346926818156
1.0241966457559926,Transient 4,-0.618221381701455
1.0241966457559926,Transient 5,-1.300944988761347
1.2802458071949872,Transient 1,2.8907058443592994
1.2802458071949872,Transient 2,4.518869818338637
1.2802458071949872,Transient 3,4.043095865696045
1.2802458071949872,Transient 4,-0.9447126596166303
1.2802458071949872,Transient 5,0.6330585171166385
1.7923441300729763,Transient 1,2.2999744820537287
1.7923441300729763,Transient 2,5.811950445882448
1.7923441300729763,Transient 3,3.738649728107534
1.7923441300729763,Transient 4,-2.869864605178813
1.7923441300729763,Transient 5,-1.7511479546375779
2.048393291511971,Transient 1,0.5957405903592375
2.048393291511971,Transient 2,3.9046945289937205
2.048393291511971,Transient 3,5.484489761255147
2.048393291511971,Transient 4,-0.8301423944730719
2.048393291511971,Transient 5,-1.373256662264891
2.3044424529509797,Transient 1,0.9853756374941721
2.3044424529509797,Transient 2,2.6545375012512418
2.3044424529509797,Transient 3,4.9300887959251085
2.3044424529509797,Transient 4,1.9561319831063027
2.3044424529509797,Transient 5,-1.3081093702887547
2.5604916143899743,Transient 1,1.7970954531389716
2.5604916143899743,Transient 2,1.6242513908239598
2.5604916143899743,Transient 3,3.9629698531124573
2.5604916143899743,Transient 4,-1.3938116958285507
2.5604916143899743,Transient 5,0.6463790160219092
2.816540775828969,Transient 1,2.2864909823256863
2.816540775828969,Transient 2,2.8582254366843536
2.816540775828969,Transient 3,4.472141915109996
2.816540775828969,Transient 4,-0.8721803388595357
2.816540775828969,Transient 5,1.0892090917799897
3.0725899372679635,Transient 1,0.43543887712740426
3.0725899372679635,Transient 2,3.590653333526418
3.0725899372679635,Transient 3,4.865779493672929
3.0725899372679635,Transient 4,-1.4088317647135118
3.0725899372679635,Transient 5,0.8359141734553824
3.328639098706958,Transient 1,0.7405165018044955
3.328639098706958,Transient 2,1.8842789626886762
3.328639098706958,Transient 3,4.530798163712995
3.328639098706958,Transient 4,-0.2368122589225398
3.328639098706958,Transient 5,-0.5141465986148678
3.5846882601459527,Transient 1,-1.0833275102841948
3.5846882601459527,Transient 2,2.9195705120731956
3.5846882601459527,Transient 3,3.4292600051778206
3.5846882601459527,Transient 4,-0.563333614782049
3.5846882601459527,Transient 5,-0.4802237232798186
3.8407374215849472,Transient 1,1.9233225124939841
3.8407374215849472,Transient 2,4.027572815658152
3.8407374215849472,Transient 3,4.068258441761347
3.8407374215849472,Transient 4,-0.3270293086342766
3.8407374215849472,Transient 5,-0.43042142404345984
4.096786583023942,Transient 1,1.684036744246414
4.096786583023942,Transient 2,2.682958012635014
4.096786583023942,Transient 3,5.748209795620805
4.096786583023942,Transient 4,0.8443291081229392
4.096786583023942,Transient 5,-0.3955331538456306
4.352835744462951,Transient 1,0.03589573668628651
4.352835744462951,Transient 2,2.403153374050708
4.352835744462951,Transient 3,3.7245175568134155
4.352835744462951,Transient 4,-0.7522859466241919
4.352835744462951,Transient 5,-0.6065507950950247
4.608884905901945,Transient 1,-1.6123663737399687
4.608884905901945,Transient 2,1.385723632470009
4.608884905901945,Transient 3,4.221400552926086
4.608884905901945,Transient 4,-0.5757365876421816
4.608884905901945,Transient 5,-1.672761561515743
4.86493406734094,Transient 1,1.3225992163354214
4.86493406734094,Transient 2,1.587206650175532
4.86493406734094,Transient 3,2.9183060670439596
4.86493406734094,Transient 4,-0.14602994698090482
4.86493406734094,Transient 5,0.7535908274504535
5.120983228779934,Transient 1,0.20730046230905752
5.120983228779934,Transient 2,3.876668260525922
5.120983228779934,Transient 3,2.978087892274676
5.120983228779934,Transient 4,-0.4565278108389525
5.120983228779934,Transient 5,-0.2583449918620499
5.377032390218929,Transient 1,-1.2438426779120002
5.377032390218929,Transient 2,0.08018532168485328
5.377032390218929,Transient 3,2.542889087686775
5.377032390218929,Transient 4,0.7146927245078539
5.377032390218929,Transient 5,-2.273033598008408
5.633081551657924,Transient 1,2.7754781717259465
5.633081551657924,Transient 2,0.3051488391058472
5.633081551657924,Transient 3,4.472333449307749
5.633081551657924,Transient 4,1.2743551752694395
5.633081551657924,Transient 5,-0.770685940774253
5.889130713096918,Transient 1,0.8286166425328081
5.889130713096918,Transient 2,2.199964551892679
5.889130713096918,Transient 3,3.891514134254744
5.889130713096918,Transient 4,-0.370927713658962
5.889130713096918,Transient 5,-1.5329445637546852
6.145179874535913,Transient 1,-0.2079854223393867
6.145179874535913,Transient 2,0.31083739688053647
6.145179874535913,Transient 3,5.1315651577618215
6.145179874535913,Transient 4,-0.7228754926632803
6.145179874535913,Transient 5,1.9073641486314363
