Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-3.571282380796526e8,236.27401142336126,112.51067951596694,7.32297533771333,168.21549878690007,9.999999764904226e8,999.9999999983971,38.953203423494344,254.6674215449568,999.9999999999345,11027.818381000365,9.659601763316383e-5,0.0009609967340939289,0.010913377371908691,0.09644637297038984,0.7666733260837949,7.154400653301134e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
