Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,η_06,Seed
Run 1,-2.5881867074439738e7,24.936823410625614,10.012057141895829,2.0085843961807557,2.998083403645194,29.293020312248153,50.19700800502142,20.060025360192885,206.3821596747786,1.100698619549913,100.08135824413114,5.1625470724549505e-6,8.237851824196647e-5,0.002986259494417583,0.04981022358354175,0.3996182189905021,1.9987004884509003,3.30053332252489e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,5.0,5.0,5.0,5.0,5.0,5.0,x
