Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-3.570694174744758e8,245.02782923025418,836.9105324385016,6.623967834290608,33.989583908776396,9.418682617789695e8,313.4379218810371,326.6554019419964,998.2520556572434,3.0680636586404693,18634.33850926745,6.747860637293746e-5,0.0006012828325740582,0.006536342219746553,0.051724137949866765,0.49005973705469136,9.509912717590673e17
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
