x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-4.464145059231394e8,242.58505176181265,176.4857914043293,26.957849932154907,9.748961909614469,700.2633548311555,153.5796344179034,52.34254651236569,158.28482604480817,1.000000001151306,104.93616484150297,8.589618515185928e-5,0.0008549607195056909,0.00859150211628046,0.8704588366976745,0.8708364634525568,8.526130043523444e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
