t,Transient 1,Transient 2,Transient 3,Transient 4,Transient 5,Transient 6
0,0.4544457700341156,2.0459170450081445,0.4667960312338624,-1.2548228617945578,-0.502296812420776,1.3385576285264897
0.25,-0.7182868281326859,0.3502062573386646,-1.8374952568851672,0.485778081625201,-0.32578873351289195,-1.1807736252913719
0.5,-0.6841022673454922,-1.0883186777553673,1.1286923069580714,0.9597667945229016,-0.4979835651327059,-0.9983788479650036
0.75,0.18782845965345615,-0.4467617246641145,1.278822197231768,0.41928625043475737,0.8396426652649424,-0.1556890094299427
1,-1.0789469761504569,-1.3723060314124151,-0.6841224322312864,0.24529313733498556,-0.4466564518239038,-0.24028431179189108
1.25,-1.4531696346820207,-1.524990071893886,1.16430257434218,0.3626634862181981,1.3814556799049291,0.32204081163415815
1.5,-0.6475770571311606,0.017082816662287982,0.4073492373044884,0.028741464586586492,-0.028115878397215847,1.7605504647517496
1.75,1.2254048861130025,0.23132343892611765,-0.27961552441682375,0.1742292822208146,-0.9257945175816494,0.15272909858020925
2,-0.9849198310495295,0.51019399964152,0.9503071576708654,0.2069040075129778,-0.09929506514749392,-0.5312401256448972
2.25,0.9907780166272494,-1.255079387967165,-0.49816192083404276,-0.18500639227090396,1.7817818462815034,1.1481587634720343
2.5,-1.3433249898463777,-1.1092840206004688,-0.82328969060083,-0.9388504778504904,-0.3125527367977286,-0.8193771330949319
2.75,-0.002714824756484693,0.43558173745994677,-0.5477873101894388,-1.3483122468039357,-0.5681180967225108,0.06483958347335604
3,1.6150892765285745,1.6573129997670943,-2.9943256372619382,-0.4756803315642599,1.2178307233323797,-0.8457775242312853
3.25,0.17018035397357234,-0.9284843793941148,0.8086110051391019,0.061044876902382375,2.012062888919283,-0.5131547887884015
3.5,-0.7255019615115702,-1.4866244726238356,0.7217109962386404,0.22345136447710195,-0.38523020977218425,0.19978478391880006
3.75,1.1513999673493263,-0.5144011308148556,0.6703647290579046,-1.3103262407494924,-0.02782737787234078,-1.2480236603134034
4,-1.1152697745418438,0.3390682978146711,1.4778174737021734,-0.3492552453758818,-0.3349136449319647,1.6548800839774662
4.25,-0.22799359351516527,0.6876736750777206,0.24181714359634388,-0.30453495163004685,-1.7366228923905815,-0.40188466035954146
4.5,-0.8856739107706062,1.3249262740635224,1.453403928246823,0.11161075951420317,-1.1971470443012595,-0.3011649557619959
4.75,-0.799806408999285,-0.8852650514380548,-1.9705225362634817,-0.11842235619372872,-1.2221530923916357,-0.01213516849497487
5,0.05997206270181432,0.5392461001205379,0.43371588383224835,1.3610590549862627,0.6175010102924644,0.5373287814999651
5.25,-0.6714870103156371,-0.10664255932387363,-0.5309779020429855,-0.4871009091096448,0.7033395492067823,-0.22808780126016814
5.5,0.8481343733413936,-0.07840187905429183,2.4383977828350933,0.3072018030978165,0.2555315079916055,0.07218133462062576
