t,name,resid
6.5,Transient 5,1.11763605680251
6.75,Transient 1,-0.9256405886080009
6.75,Transient 2,0.02648178792002923
6.75,Transient 3,-0.07850250381579119
6.75,Transient 4,-0.16406026220269146
6.75,Transient 5,1.1998884060777464
7,Transient 1,0.25274037256818876
7,Transient 2,0.4762754081847389
7,Transient 3,0.8673313020516757
7,Transient 4,-1.1675969616803235
7,Transient 5,0.786519067136107
7.25,Transient 1,-1.2021725192056396
7.25,Transient 2,-0.3392191971126309
7.25,Transient 3,-0.7561138917549034
7.25,Transient 4,-1.1594854630847236
7.25,Transient 5,1.8447421809658258
7.5,Transient 1,-1.2127007381803867
7.5,Transient 2,0.977571584519435
7.5,Transient 3,0.7881749402834468
7.5,Transient 4,-1.0883109667662623
7.5,Transient 5,1.5793021106360334
7.75,Transient 1,-1.795014163815912
7.75,Transient 2,1.749456343522165
7.75,Transient 3,0.7606233584996663
7.75,Transient 4,-1.790512487818356
7.75,Transient 5,0.36796426384590664
8,Transient 1,-1.5653160830120316
8,Transient 2,0.9707482667108224
8,Transient 3,1.2331194289904597
8,Transient 4,1.6661673048869452
8,Transient 5,-0.8151786878585771
8.25,Transient 1,-1.3920836114742372
8.25,Transient 2,-1.6485344956708823
8.25,Transient 3,-2.5322825184226447
8.25,Transient 4,1.2149249186021336
8.25,Transient 5,-0.6404856777747676
8.5,Transient 1,1.4135488109191783
8.5,Transient 2,1.373744163993455
8.5,Transient 3,2.500803511198303
8.5,Transient 4,-0.43781442043144214
8.5,Transient 5,-0.27493195789877434
8.75,Transient 1,-0.0960458295208827
8.75,Transient 2,0.32730014540353863
8.75,Transient 3,0.4947197582999991
8.75,Transient 4,0.4578797375052302
8.75,Transient 5,-0.20115348743420136
9,Transient 1,0.04455372687349886
9,Transient 2,-1.045019898953915
9,Transient 3,-0.1385567847932157
9,Transient 4,-0.30289286087269773
9,Transient 5,1.3436226655522852
9.25,Transient 1,-0.6329508312254918
9.25,Transient 2,-0.232278161880379
9.25,Transient 3,-1.265213753574452
9.25,Transient 4,0.3918590433940736
9.25,Transient 5,0.6314965140420066
9.5,Transient 1,0.03779091758781451
9.5,Transient 2,0.2804433774556218
9.5,Transient 3,-0.43258261800518094
9.5,Transient 4,-2.0694644262493638
9.5,Transient 5,1.257749398332258
9.75,Transient 1,0.3167187568114296
9.75,Transient 2,0.5084296168843493
9.75,Transient 3,-0.09464265146774656
9.75,Transient 4,-0.07873557239016613
9.75,Transient 5,1.698267348247359
10,Transient 1,-1.0239942740841244
10,Transient 2,0.8072715473594683
10,Transient 3,-0.34804076662373445
10,Transient 4,0.07045836598667315
10,Transient 5,-1.4276954822623371
10.25,Transient 1,-0.22078679056769748
10.25,Transient 2,-0.15170623068526648
10.25,Transient 3,0.5880257961320879
10.25,Transient 4,-0.5797591889096694
10.25,Transient 5,0.07562203062342934
10.5,Transient 1,0.34396815545267545
10.5,Transient 2,0.8766244856222659
10.5,Transient 3,1.521800935106757
10.5,Transient 4,-0.39060702633807887
10.5,Transient 5,-0.8737987751391415
10.75,Transient 1,0.2677317255443721
10.75,Transient 2,-0.11389752540070404
10.75,Transient 3,-0.6929155151987983
10.75,Transient 4,-2.5058993745221243
10.75,Transient 5,-1.6985861611955577
11,Transient 1,0.8390542848933129
11,Transient 2,0.45519628218895936
11,Transient 3,-1.2553851033892152
11,Transient 4,0.7871446460863862
11,Transient 5,-1.8977633705099342
11.25,Transient 1,0.9986079740968922
11.25,Transient 2,2.4171415180456717
11.25,Transient 3,-0.1444886940343824
11.25,Transient 4,-0.43274394238153147
11.25,Transient 5,1.4043453420805305
11.5,Transient 1,-0.3284474281180273
11.5,Transient 2,-0.6245392427378283
11.5,Transient 3,0.10522764740120152
11.5,Transient 4,-0.26758814536691683
11.5,Transient 5,0.3009734041805707
11.75,Transient 1,0.43122043033538093
11.75,Transient 2,1.8858045320976111
11.75,Transient 3,0.8393782699436132
11.75,Transient 4,-1.9175298774841885
11.75,Transient 5,0.20121057926269917
12,Transient 1,1.0142086322875454
12,Transient 2,0.437606575537765
12,Transient 3,0.504330138666271
12,Transient 4,0.5264984976069047
12,Transient 5,0.712118214478494
12.25,Transient 1,0.304256956822268
12.25,Transient 2,1.8336772644193686
12.25,Transient 3,0.6152619228225306
12.25,Transient 4,-1.1474243282884484
12.25,Transient 5,-0.5066478938843931
12.5,Transient 1,-0.36159450384506375
12.5,Transient 2,0.29168208977585314
12.5,Transient 3,0.3059330146721399
12.5,Transient 4,0.971216358526146
12.5,Transient 5,0.5831823981360241
12.75,Transient 1,-0.24062672042226646
12.75,Transient 2,0.1823212181194155
12.75,Transient 3,1.1890986919522835
12.75,Transient 4,0.9100385395573148
