t,Transient 1,Transient 2,Transient 3,Transient 4,Transient 5
0,-0.2146101902800541,0.639809285726643,1.421242541927504,0.20176320110431514,-0.55168336200399
0.25,-0.18271158331703483,-0.46177058729682297,0.974505249888014,-0.23941313238452339,-0.34835204732816843
0.5,0.6695808244793428,-0.3072419693168621,0.19652401110865705,-1.8371564863892635,0.6462315607590676
0.75,-0.38426753992148777,-0.1914868235826146,0.1650536812877613,0.47364544778303774,-0.640605740619261
1,-1.0237570470752433,1.5552978899542096,1.4156394691138554,-1.551529637401675,2.0746633716065577
1.25,-2.2579926481371926,0.05208194003875607,0.14558566249715532,-0.626270533750763,-0.535235318109806
1.5,-1.9811524828326375,0.15523117033849917,-0.5237529598884576,-1.7374550785101095,0.009685033559907408
1.75,0.10641709145550012,0.16357497150318312,0.0028019207957379975,-0.4856025930567746,0.9648532734141243
2,0.3931169384798026,-0.8432109178180215,0.2579102310459287,0.10068586886895488,-0.11028724789860271
2.25,0.6137197098189345,-0.006620205908088837,-0.8750611214638712,-0.0551301469791132,-1.5669980025754737
2.5,0.6470032936916267,-0.47534262379604914,-0.8518908126003353,-0.011686131513638846,2.2073961995296227
2.75,0.6865491463884332,0.18211414484188723,0.26738834359466096,0.32449632007493234,0.18149976865854361
3,-1.4410317877830148,-0.35415938387019585,-0.3356390634284722,-0.36757440945861686,1.1174981237215758
3.25,0.3282716696048326,-0.09141841288428947,-0.9906597804664928,-1.3100801548005252,-0.038312015909333454
3.5,-1.6605403496470044,-1.5304897732893192,0.9238054945556337,1.227947937455661,0.37854542108951444
3.75,0.19899575795023927,1.1581363362849788,-1.3571894883344169,1.0852108669328588,-0.5833120788315004
4,-2.872027302054097,-0.46781878953271794,0.0038210961958748814,-2.239950591357083,-0.9531043359625474
4.25,1.015698128541965,0.7198673327866724,0.2974917707492737,0.6652277858013181,2.1831924021640408
4.5,1.1911447038822354,1.555971859816581,0.6661418737633522,0.1758662833804889,0.8546206544426258
4.75,1.5739791731896138,-1.4448168621962356,-0.4358855791527283,-1.2390259517360696,0.6558866736771177
5,-0.20337171430585782,0.6507968527494311,-0.34482053612912617,0.9246544862882357,0.3051183543786348
5.25,2.1914324847268203,-0.7237277332850989,0.5065023967054613,0.6117347129794555,0.6056318654020939
5.5,1.354954746834658,0.058824307991123106,1.19543859150783,-0.4750868053987592,1.281539174450758
5.75,-0.5227784781069195,-0.57437637852002,1.0575450149943966,0.22470310822018164,1.6026268276374989
6,-1.1173604986954766,0.8014863383376175,-0.33864712791070534,-0.02357794705038513,2.431445454808976
6.25,-0.8477686770188775,0.5900404404392467,0.46178352516684484,1.518498306871299,1.1895408604930298
6.5,-0.37837042484101946,-2.5576331898066207,0.6802029282100814,1.8680885710780843,2.3211248627748216
6.75,-0.36189312086537984,1.154573476705269,1.0656293939160322,0.6567608554031833,-0.6416136595710105
7,-0.14559527664624622,-0.7222324752068673,-0.8266135435922983,0.41117579170879176,-1.3417275654403293
7.25,0.5062450229690812,0.686253295450899,-0.7710443221238336,1.435307006237016,-1.0744169040826779
7.5,0.4638880480805692,-0.6581560216154748,-0.48309325066747205,-0.15325418230916482,-1.761258807691494
7.75,1.498324692344424,0.6139742026372272,-1.4627213654456142,-0.008770450108816248,-0.6815737085745714
8,0.1215943187990135,0.13277069892425017,-0.19187254266698567,-0.7871772910189134,0.4302620118976915
8.25,-1.2456902797818512,2.5170547375045,-2.575313179869449,0.6195330899596072,-0.3411250251417928
8.5,-0.5971915010210872,-1.6428449018730222,-0.19454542960413454,1.3432031308987813,0.21909734001612996
8.75,1.3602933713751855,1.737494429528697,0.7122192541855342,-0.7153554421728059,0.5573582643283828
9,-1.0109622963251967,-0.3853197202298825,-1.144043425289549,-0.9492932038281438,1.5467336676678278
9.25,-1.4684508315464553,0.24605621966829738,-0.09689537331574324,-2.0842847263701505,-0.9039367852218565
9.5,-0.859971270252757,-0.4130392729837516,-0.04547441163471584,1.4445079028009684,0.383362518210788
9.75,-1.4439847829518302,0.9903005663115466,0.6846137628627608,0.3894347550069195,0.6949000319213857
10,-0.2888601912577469,0.48078936572332237,-0.08963906559476291,-1.2069851621282182,-0.14536609193496572
10.25,-2.3941705563230014,-1.3671427757890267,-0.0031100061042879223,-0.32887596598977464,0.40130143928146633
10.5,0.7366453931806611,-0.08083425043971815,1.2274496833048278,-0.5418645567120149,-1.6106217460909757
10.75,-0.13950080561073577,-1.2243846863613665,-0.4235265435124754,-1.420835510753409,-0.21949315676761372
11,-0.6286793469374323,0.08668227925293709,1.3170146065510038,0.4321314689879856,1.1347791681454398
11.25,-1.1614022830609034,0.97140264676635,-0.6639923627519849,0.7369191787555741,-0.154801660941714
11.5,0.46957785065751406,-1.1407111125543439,-0.24234633065077435,0.10730282163112558,0.5129315640686622
11.75,-0.08297506019858462,-0.3734679150870475,-1.6071334033288192,1.4035794131674562,0.34304191543312323
12,-2.0189055622229954,-0.8520588320008913,-0.07374560208112864,0.19680643713565274,1.3914760230438616
12.25,-0.16055032436178868,-0.39216260357810273,-0.001266991488530542,-0.49867650639797967,1.2870227674778094
12.5,-0.2269267570211779,0.9691687724020296,-0.0813373430155681,2.2382891270184087,-0.16395076805646538
12.75,0.11337206805974452,0.7619327395201777,0.8936017325363593,1.2256380357432823,0.5488673449266863
13,-0.7691819299648122,0.06473933111931966,-0.055689386933409545,-1.1528136869668129,0.5646553174232377
13.25,0.7733279655946448,1.3523631650887933,-1.8792220028677333,0.49688742376321327,0.8777869010972735
13.5,-0.9635915302083646,1.6317604718424323,-0.1780986110587318,0.5744057805305598,-0.27274027945437485
13.75,2.185178915058157,-1.1735294679878894,-0.35765906083472215,1.7363676987638361,-0.9536277472481448
14,2.063846430118628,0.03450685226800311,-0.2755395571245469,-0.9564623864339487,0.3580599000117542
14.25,-1.5532973619499957,-0.3052042076131263,-3.320031593397641,-0.7173059847248855,-1.8434715513457909
14.5,2.12613014719505,0.951469685557091,-0.5682419879939135,-0.44667918380097194,-0.8800678170151531
14.75,0.5426006312266431,1.1995289942342329,-0.1939801769899869,-0.6301681272590178,-0.2410705299535978
15,0.7086853414610897,-0.5413144584070273,-0.16007257893070032,-0.0947627693076766,-0.18765535544447232
15.25,-0.8568695825340871,1.5309250577555595,-0.2909153085806837,0.8298530862549851,-0.046776507852610755
15.5,-1.2640315281212744,0.5270838893682898,1.2503832751720296,1.437535510190148,-2.0009186559143117
15.75,1.557353126738757,0.7156134449698057,0.4738798937396234,-0.5156783647970822,1.1857511376916439
16,0.14275009277231424,0.5069435090017815,0.5060640016158849,-1.408409951294022,1.8453398181539993
16.25,-1.6441537549247074,-0.12133386558212501,-1.0794387991384655,-0.6544413373858998,0.5847035473515033
16.5,0.023057636599595033,-1.1637259468044763,-0.3457175998392217,-1.3788356314050156,-0.8811478910388942
16.75,-0.5706229148130944,-0.9677143645900088,0.026682424584230403,0.0346651717188886,0.8143845367187433
17,1.1925155282620064,0.024600701646104884,1.808686455642386,0.1000083886403645,-0.7722797184219745
17.25,-0.20708236586715245,0.6439779952554855,-0.7176893485163499,2.6338577382175123,-0.6067795734989048
17.5,1.2381936886406137,-0.5219150948992801,1.8074512706926253,0.5979087565961825,-1.2270856815167468
17.75,1.0729625372250893,0.9787919287008972,0.235215483406896,-0.6450293100609248,-0.43887960785351116
18,0.17050921970557345,-2.663522904056877,-1.3682626650192098,0.19752686890265173,-0.7517717044058101
18.25,-0.5530907554478148,0.12051134424133898,0.06412382912179618,0.6128862164543367,0.35825989484611837
18.5,-1.7451546206841442,1.0929041345891217,0.700240677702559,-0.9758322878445655,-1.1952297562036054
18.75,-1.0817362244298478,1.7799512464272003,-0.24863768298719652,1.5433686030055054,-1.0820009686373795
19,0.3623788637413263,-0.1646559102999291,1.5203141352257816,-1.0904162295642084,-1.1112906820629975
19.25,-0.04073681991633218,1.6628284398001756,-1.346152608304105,-0.24658134685922184,-0.24471137734999915
19.5,0.07220241332838344,-1.0548724217281011,0.43027096155285405,0.5416194054097633,1.5257715646844006
