x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.8720209309864295e8,148.0193563461393,445.02726882639104,122.40690024949072,7.352643010980758,279871.63108678476,427.78781701620363,646.2401611795318,481.9275079425417,30.402554696436123,23078.486897005587,4.9824657946482225e-5,0.00048472168941595707,0.0051224923234686436,0.04006617761179174,0.3515219841098096,8.733472887111076e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,0.5,0.5,0.5,0.5,0.5,x
