x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.872020962481329e8,142.9661372086674,490.72348119188246,122.66157596200583,7.354138766360237,280597.86736080336,428.8932353431588,712.9163780933181,533.8793368322689,40.13933743975544,25484.87576169009,4.512389722871631e-5,0.0004390167311941975,0.004640767425664591,0.03636497997643876,0.3243634287914213,4.4899785007208515e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,0.5,0.5,0.5,0.5,0.5,x
