Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.872020961909016e8,143.45309228188816,486.30496850579624,122.51024868631967,7.354385726981103,279276.2198828755,428.58863224499964,705.6962917826196,528.7375411895455,38.87979118525555,25225.96428956757,4.559205624318832e-5,0.0004435225148053823,0.004688575205864704,0.03672691527520841,0.32708373215998326,8.142228226194821e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,0.5,0.5,0.5,0.5,0.5,x
