Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.9300824852536917e8,225.81002088327924,219.17231024424572,55.604810537167104,20.672916634299284,773.9883443661369,253.89733440914895,46.96170946232099,63.09267717984533,11.159805772216334,609.9638478028867,6.58415301791888e-5,0.0006561831046665119,0.006533367626796981,0.06425618870558567,0.5858836323041099,4.052224376913766e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
