Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-4.464145059231394e8,242.5850484106467,176.48577936362864,26.95775570274001,9.74897338277602,700.2613550841958,153.5794216099436,52.34262912583587,158.28465950504713,1.0000000004419904,104.93618259002776,8.589619420495274e-5,0.0008549606141991904,0.008591498791094448,0.8704587213362197,0.8708363700710599,8.50026352432152e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
