Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.8720209562328357e8,144.9614001535851,471.0354158150989,122.47700774171436,7.353207231915331,280024.3931364764,428.34320821075653,684.8673577663818,511.79356057927095,35.722911425739554,24456.460225056206,4.702236229320956e-5,0.00045745393695672,0.004834593356180449,0.03785884614545416,0.33543114117980777,2.862106408344435e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,0.5,0.5,0.5,0.5,0.5,x
