Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.9300828801522744e8,187.01752635649402,305.94089234140273,59.815522091871415,20.02903866149282,800.6744533665376,251.05683239554077,61.84448456433537,95.42161146110595,15.857196188132571,871.5863750608431,4.603691412316271e-5,0.00045894396632329673,0.004581703513042098,0.0456805536349967,0.44572624302376396,5.672632331027765e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
