x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.930082707829591e8,210.7769671738125,252.51525140489494,58.803550743982015,20.17164251517635,794.5720915452985,251.85114536291664,50.49925881182545,75.41349244593802,11.826169663072523,694.5218248753498,5.778384861387062e-5,0.000575970403276111,0.005743278851174266,0.05684720999137272,0.5312281389552873,6.67309314113532e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
