x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.8720209624033064e8,143.17923913117937,488.69385802055973,122.64456286596047,7.354163671422905,280632.1415595274,428.8264097220273,709.8681219451712,531.4607750254189,39.58245967593001,25374.845009998087,4.531964569889957e-5,0.00044091601648768266,0.004660805827288053,0.03651947120639511,0.3255072984989882,2.175369500429497e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,0.5,0.5,0.5,0.5,0.5,x
