Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-1.7954806589332328e9,143.98562867106813,61.00662431373791,15.02081851197854,4.984994563270523,1330.2254149878804,86.44791456174744,61.002345704047755,84.01229740558757,3.854874306648085,773.7588102483261,8.090646414822089e-5,0.0008091920458511311,0.008044018090235557,0.7108473292339855,0.7110474699593963,2.676800688709685e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
