x1,x2,x3,x4,x5,x6
50.18563564204328,0,97,33213,4886,15682
50.441684803482275,6,90,33330,4734,15565
50.69773396492127,5,86,32731,4791,15511
50.953783126360264,2,91,32604,4757,15529
51.20983228779926,1,91,32627,4816,15601
51.46588144923827,0,80,32482,4881,15454
51.72193061067726,1,64,32707,4914,15178
51.97797977211626,3,96,32584,4804,15441
52.23402893355525,1,87,32055,4657,15318
52.490078094994246,0,64,31983,4773,15386
52.74612725643324,2,66,32029,4710,15398
53.002176417872235,1,66,31545,4657,15286
53.25822557931123,5,63,31709,4657,15064
53.514274740750224,6,58,31224,4678,15188
53.77032390218923,2,59,31401,4760,15073
54.02637306362823,3,54,31400,4651,14803
54.28242222506722,3,62,31257,4663,14862
54.53847138650622,1,56,31075,4790,15008
54.79452054794521,3,64,30505,4704,14775
55.050569709384206,3,58,30609,4714,14934
55.3066188708232,3,46,30826,4696,15035
55.562668032262195,2,48,30249,4663,14790
55.818717193701204,2,54,30194,4740,15112
56.0747663551402,1,53,30078,4630,14777
56.33081551657919,2,41,29869,4634,14710
56.58686467801819,3,48,29833,4576,14798
56.84291383945718,3,48,29937,4504,14621
57.09896300089618,0,48,29661,4571,14484
57.35501216233517,2,35,29586,4501,14592
57.611061323774166,1,39,29272,4503,14637
57.867110485213175,3,38,29518,4642,14531
58.12315964665217,2,52,28771,4548,14559
58.379208808091164,4,28,29068,4627,14382
58.63525796953016,3,33,29152,4548,14509
58.89130713096915,1,29,28985,4609,14396
59.14735629240815,1,38,28563,4401,14416
59.40340545384714,0,28,28910,4486,14286
59.65945461528614,3,25,28521,4440,14333
59.91550377672513,1,39,28283,4584,14181
60.17155293816414,2,38,28328,4541,14245
60.427602099603135,1,23,28422,4405,14208
60.68365126104213,3,34,28239,4589,13930
60.939700422481124,4,27,27779,4502,14107
61.19574958392012,3,29,28027,4350,14056
61.45179874535911,1,24,27601,4434,14198
61.70784790679811,3,26,27209,4496,13932
61.9638970682371,0,33,27806,4478,14015
62.21994622967611,1,22,27338,4417,13924
62.475995391115106,3,25,27324,4414,13917
62.7320445525541,1,22,27126,4469,13749
62.988093713993095,1,31,26996,4291,13680
63.24414287543209,2,28,26695,4284,13777
63.500192036871084,1,16,26653,4288,13714
63.75624119831008,2,26,26960,4262,13604
64.01229035974907,1,21,26442,4242,13726
64.26833952118807,0,23,26265,4379,13737
64.52438868262706,1,27,26494,4196,13723
64.78043784406606,2,26,26006,4358,13528
65.03648700550505,0,21,26168,4353,13526
65.29253616694405,0,13,26202,4339,13369
65.54858532838307,0,23,25895,4193,13487
65.80463448982206,1,16,26022,4245,13271
66.06068365126106,2,14,25987,4293,13502
66.31673281270005,2,21,25712,4275,13366
66.57278197413905,0,12,25297,4199,13231
66.82883113557804,1,18,25418,4134,13330
67.08488029701704,1,12,25331,4266,13300
67.34092945845603,1,23,25167,4199,13236
67.59697861989503,0,15,25068,4216,13364
67.85302778133402,0,12,25370,4183,13094
68.10907694277302,0,19,24708,4155,13063
68.36512610421201,0,16,24476,4173,12982
68.621175265651,1,17,24406,4102,13059
68.87722442709,1,19,24436,4185,13032
69.133273588529,3,11,24653,4135,13090
69.38932274996799,1,11,24687,4138,12702
69.64537191140701,1,12,24118,4111,13016
69.901421072846,2,7,24025,4060,12789
70.157470234285,5,13,23979,4068,12720
70.413519395724,2,12,23988,4033,12591
70.66956855716299,0,10,23913,4183,12740
70.92561771860198,1,12,23793,4099,12916
71.18166688004098,3,12,23490,4113,12722
71.43771604147997,0,16,23729,4055,12764
71.69376520291897,1,13,23510,4063,12677
71.94981436435796,1,14,23747,3994,12757
72.20586352579696,1,16,23420,4019,12569
72.46191268723595,1,19,23423,4093,12647
72.71796184867495,1,7,23363,3922,12444
72.97401101011394,1,3,23000,3883,12456
73.23006017155294,1,9,23174,3944,12215
73.48610933299193,1,16,22560,3887,12551
73.74215849443092,0,7,22817,4043,12454
