x1,x2,x3,x4,x5,x6
22.53232620663168,56,1057,31974,27269,15807
22.788375368070675,49,936,32256,27032,15875
23.04442452950967,57,914,31760,26948,15917
23.300473690948664,47,1016,31765,27022,15571
23.55652285238766,47,903,31876,27102,15757
23.812572013826667,49,865,31483,27170,15458
24.068621175265662,44,859,31271,27220,15732
24.324670336704656,43,830,30995,26856,15516
24.58071949814365,39,810,30711,27024,15398
24.836768659582646,29,780,31087,26934,15754
25.09281782102164,41,801,30853,26881,15527
25.348866982460635,37,741,30923,26631,15351
25.60491614389963,36,691,30777,26613,15294
25.860965305338638,27,710,30675,26528,15213
26.117014466777633,37,672,30505,26796,15294
26.373063628216627,29,652,30267,26359,15115
26.629112789655622,29,580,30317,26622,15332
26.885161951094616,25,571,29794,26610,15208
27.14121111253361,31,599,29875,26419,15283
27.397260273972606,24,556,29953,26453,15278
27.6533094354116,29,548,29952,26467,15326
27.90935859685061,25,508,29504,25857,15150
28.165407758289604,28,494,29310,26466,14932
28.421456919728598,25,513,29521,26168,15309
28.677506081167593,17,483,29415,26191,15000
28.933555242606587,22,478,29191,26076,15023
29.189604404045582,13,464,29129,25925,14985
29.445653565484577,22,405,29196,25771,14837
29.70170272692357,19,457,28790,25964,14843
29.957751888362566,21,419,29016,25607,14882
30.213801049801575,20,412,28847,25823,15073
30.46985021124057,19,372,28568,25598,14763
30.725899372679564,13,362,28447,25714,14789
30.98194853411856,14,391,28412,25474,14600
31.237997695557553,13,371,28309,25652,14578
31.494046856996547,9,348,28128,25504,14789
31.750096018435542,15,315,28311,25382,14591
32.00614517987454,14,324,28337,25590,14457
32.262194341313545,11,275,28239,25313,14533
32.51824350275254,9,283,27625,25296,14366
32.774292664191535,12,265,27907,25244,14354
33.03034182563053,13,270,27644,25305,14625
33.286390987069524,14,256,27576,25239,14444
33.54244014850852,15,251,27573,25410,14378
33.79848930994751,8,237,27395,25090,14178
34.05453847138651,12,250,27686,25271,13933
34.310587632825516,10,230,27155,25072,14179
34.56663679426451,12,245,27245,24883,14074
34.822685955703506,6,231,27481,24912,14176
35.0787351171425,6,240,26786,24723,14114
35.334784278581495,11,243,26934,24933,14339
35.59083344002049,7,191,26861,24901,13912
35.846882601459484,4,183,26873,24571,14076
36.10293176289848,5,186,26832,24613,14175
36.35898092433747,5,186,26509,25010,14112
36.61503008577648,4,189,26437,24651,13959
36.87107924721548,4,179,26455,24544,13725
37.12712840865447,4,184,26294,24651,14139
37.383177570093466,12,149,26563,24573,14058
37.63922673153246,2,159,26417,24564,13999
37.895275892971455,10,164,26556,24520,14130
38.15132505441045,5,172,26154,24658,13814
38.407374215849444,5,149,26060,24516,13849
38.66342337728845,2,144,25887,24241,13637
38.91947253872745,4,126,25720,24549,13624
39.17552170016644,7,142,25764,23838,13845
39.43157086160544,3,114,25465,24525,13649
39.68762002304443,4,121,25712,24183,13453
39.943669184483426,7,143,25435,23994,13592
