Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-1.7954806856284366e9,95.1014888643227,78.23791813039219,15.44909321757343,4.953774461105925,1328.2027148988602,86.13289735189244,105.68585038617475,113.77340942920073,5.22000542088024,1342.6720430400594,4.652301652549975e-5,0.0004654644390271363,0.004653281233851979,0.47343640328746,0.4735792650327684,8.517669812832422e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
