Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.9300828694364774e8,187.9452657111295,300.18575524602636,59.290830764315444,20.10177061222888,797.5610906065186,251.33407330748278,61.57200507234759,93.35575360372825,15.82172277328586,861.1180025419168,4.659657313433064e-5,0.0004645349301362195,0.004637312764025032,0.046215131658763106,0.45002244534157293,6.521009141172195e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
