x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-1.79548068231645e9,81.68678434354511,90.44061158996443,15.581889533935913,4.944220968226124,1327.3215687988793,86.04196425027568,131.36700107094285,129.6033299517476,6.300771033058252,1668.2405734165984,3.7423409177036096e-5,0.0003744358892042681,0.003748793506236421,0.400326361601694,0.40045139137080993,3.273961908462756e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
