Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,η_06,Seed
Run 1,-2.5881867074439734e7,24.936871460270204,10.012054412615957,2.0085837599104357,2.998083406996292,29.293023809425353,50.1969993356969,20.05988899103381,206.3806835983345,1.1007030551223214,100.08065014122508,5.162567554523679e-6,8.237912618922895e-5,0.002986280793927892,0.04981056188244278,0.39962053650294665,1.9987089863030494,6.329120905855663e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,5.0,5.0,5.0,5.0,5.0,5.0,x
