Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.930082814594377e8,195.8824840954015,277.4333391373665,58.74197291527906,20.190153386077434,794.1095392946056,251.68156893981214,57.186812760982974,85.48524928948761,14.33161204648967,791.2445559085569,5.071387084785397e-5,0.0005055062398959503,0.0050439656432393724,0.05013296207035879,0.4806884522966748,4.184674359557485e17
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
