Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-4.4641450592313945e8,242.58444229967844,176.4860858247069,26.957846129419405,9.748960812451465,700.2631756581471,153.5796893991103,52.34260885575044,158.28541791831984,1.0000000120770804,104.93635616464265,8.589604597204492e-5,0.0008549590317092295,0.008591488029408916,0.870457756487282,0.8708354129802637,8.901524671777488e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
