Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-4.464142453137635e8,94.50067349280636,365.1556014214173,24.935768191590494,10.298438159753282,645.4629913011526,156.7190354064427,155.1864640559292,252.22534221828707,927.509391185059,250.54264687897694,3.615225686826955e-5,0.0003590095655892649,0.0035910637900847453,0.4630751921106663,0.46331464653812787,3.423929286354885e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
