x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.8720209610897344e8,143.8636853406574,482.05281675148774,122.50901157230619,7.353453135345692,279783.29342566436,428.5590215154856,700.0293499046269,524.1993164837712,37.94430643559148,25018.18618397379,4.59769095101434e-5,0.00044722515557614126,0.004727103880033197,0.037026858075428805,0.3292807912930746,8.862386755277769e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,0.5,0.5,0.5,0.5,0.5,x
