x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-4.464145059231395e8,242.5841860686258,176.48610261802182,26.957799389497303,9.748972217643383,700.2618243338479,153.5795038054696,52.3428292675651,158.28433088495296,1.0000000020003421,104.93655900946571,8.589589074849126e-5,0.0008549572238250087,0.008591468200867614,0.8704565834704685,0.8708341818241689,4.121172674427659e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
