x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-3.571467592002194e8,261.5049324850068,400.5548868340803,192.8739535657992,6.967566134675405,179539.4985163632,999.9999999999966,260.1264147097341,55.68451140222745,21.872610534518437,10525.211768514368,0.0001010619787273726,0.000999570392247747,0.011204654055612766,0.09908253323588846,0.7696389705231707,9.02612072074405e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
