Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,η_06,Seed
Run 1,-2.588148064446895e7,6.567485017037403,28.3462599976605,2.145553054581488,3.347390771736536,25.36337414201566,65.00168425680259,78.17346084359177,682.6331780995027,999.9999999995574,395.38867512470256,1.2855511388194485e-6,2.0326708317139766e-5,0.0007511122715515667,0.012973660563616136,0.12018350893426638,0.839363304108484,7.45376798887099e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,5.0,5.0,5.0,5.0,5.0,5.0,x
