Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-3.5712823807965535e8,236.27380099949684,112.51094526395813,7.322973847375104,168.21527497701794,9.99999979901596e8,999.9999999997632,38.953418594174465,254.6694694936152,999.9999999995571,11027.850432709101,9.659582234702849e-5,0.0009609936820375385,0.01091333024475717,0.09644608067273035,0.7666716174662136,1.3221069780078804e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
