Run/Bounds,F_min,τ_r0,τ_nr0,τ_d,τ_0,τ_1,τ_l,N_l,N_D,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-3.571467591991092e8,261.6813377736285,400.11266604680077,192.8608072929079,6.967159625314458,179509.68044867017,999.9999999999775,259.79889888962856,55.61710724969293,21.818418991317913,10510.16799105092,0.00010121210176572862,0.001001031548625829,0.011220141070861316,0.09921308684155292,0.7704221587892341,7.253921110354397e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
