Run/Bounds,F_min,τ_r0,τ_nr0,τ_2t,τ_1t,τ_1e,τ_1d,α,β,r,C,η_01,η_02,η_03,η_04,η_05,Seed
Run 1,-2.9300826466333294e8,216.84765357477582,242.45925004619662,58.262247115999486,20.24707597376004,791.30295932997,252.0831576940063,48.473797394873635,71.2490735452033,11.204706466366652,661.176257542514,6.070126506533371e-5,0.0006050342426064077,0.006031383480263502,0.0596182147241732,0.5514405012043682,4.897438996671085e18
LB,x,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0e-6,1.0e-6,1.0e-6,1.0e-6,1.0e-6,x
UP,x,5000.0,5000.0,1000.0,1000.0,1.0e9,1000.0,10000.0,10000.0,1000.0,1.0e6,1.0,1.0,1.0,1.0,1.0,x
